Word,Count,Length
grinning,1,8
ear,6,3
manners,1,7
grins,1,5
cheshire,7,8
violence,1,8
courage,3,7
grinned,3,7
pleased,7,7
introduce,2,9
throwing,2,8
fire-irons,1,10
saucepans,1,9
plates,2,6
dishes,2,6
blows,1,5
jumping,4,7
agony,1,5
terror,1,6
precious,1,8
unusually,1,9
saucepan,1,8
flew,1,4
carried,4,7
minded,1,6
growl,3,5
faster,3,6
advantage,3,9
takes,2,5
twenty-four,2,11
hours,4,5
axis,1,4
axes,1,4
chop,1,4
glanced,1,7
meant,5,5
hint,2,4
busily,4,6
bother,1,6
abide,1,5
figures,1,7
singing,2,7
lullaby,1,7
shake,1,5
roughly,1,7
boy,3,3
beat,4,4
sneezes,2,7
annoy,1,5
teases,1,6
wow,6,3
sang,2,4
verse,4,5
song,7,4
tossing,3,7
howled,1,6
enjoy,1,5
pleases,1,7
flinging,1,8
threw,2,5
frying-pan,1,10
missed,2,6
caught,3,6
queer-shaped,1,12
creature,4,8
star-fish,1,9
snorting,1,8
steam-engine,1,12
doubling,1,8
straightening,1,13
proper,3,6
twist,2,5
tight,1,5
prevent,1,7
kill,1,4
murder,1,6
grunted,4,7
grunt,1,5
expressing,1,10
turn-up,1,7
snout,1,5
extremely,2,9
sobbing,3,7
sobbed,1,6
carry,1,5
relieved,1,8
trot,1,4
dreadfully,6,10
ugly,2,4
handsome,1,8
pigs,2,4
startled,2,8
bough,1,5
yards,1,5
good-natured,1,12
teeth,1,5
treated,1,7
respect,1,7
puss,1,4
wider,1,5
depends,1,7
explanation,2,11
denied,2,6
waving,5,6
hatter,56,6
march,34,5
hare,31,4
visit,1,5
mad,15,3
grant,1,5
growls,1,6
wags,1,4
wag,1,3
growling,1,8
invited,2,7
happening,1,9
by-the-bye,1,10
hatters,1,7
raving,2,6
branch,1,6
fig,1,3
appearing,1,9
vanishing,1,9
giddy,2,5
chimneys,1,8
shaped,2,6
thatched,1,8
raised,2,6
tea-party,2,9
tea,13,3
dormouse,40,8
fast,4,4
asleep,8,6
cushion,2,7
resting,2,7
elbows,1,6
arm-chair,1,9
wine,2,4
civil,3,5
laid,2,4
cutting,1,7
personal,2,8
severity,1,8
rude,2,4
wide,2,4
raven,1,5
writing-desk,1,12
fun,3,3
riddles,2,7
breathe,3,7
ravens,1,6
writing-desks,1,13
break,2,5
month,2,5
uneasily,2,8
fourth,1,6
butter,3,6
meekly,2,6
crumbs,4,6
grumbled,1,8
bread-knife,1,11
gloomily,1,8
cup,2,3
shoulder,4,8
tells,2,5
oclock,3,6
stays,1,5
poured,1,6
riddle,1,6
slightest,1,9
wearily,1,7
waste,1,5
answers,1,7
cautiously,3,10
music,3,5
accounts,1,8
terms,1,5
clock,2,5
twinkling,4,9
half-past,2,9
mournfully,1,10
quarrelled,1,10
spoon,2,5
concert,2,7
